FID,DNA_ID,Sample_ID,TDMilk,TDFat,TDPro,TDSCCS,Fat,Protein,Lactose,Solids,SNF,Urea,FPD,SCC
121,201148310015_R01C01,1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,201148310015_R01C02,1433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,201148310015_R02C01,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,201148310015_R03C01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,201148310015_R03C02,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,201148310015_R04C02,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,201148310015_R06C02,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,201148310015_R07C01,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,201148310015_R09C01,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,201148310015_R09C02,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,201148310015_R10C01,1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,201148310015_R11C01,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,201148310015_R12C01,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,201148310015_R12C02,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,201148310021_R11C01,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,201148310018_R05C01,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,201148310018_R08C01,7217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,201148310018_R12C02,2(a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,201148310019_R01C02,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,201148310019_R05C01,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,201148310019_R09C02,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,201148310019_R12C02,5(a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,201148310006_R03C01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,201148310006_R07C01,8400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,201148310006_R08C01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,201148310006_R10C01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,201148310020_R03C01,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,201148310020_R05C02,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,201148310023_R01C02,40114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,201148310023_R06C01,33114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,201148310023_R07C02,913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,201148310023_R10C02,34567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
