FID,DNA_ID,Sample_ID,TDMilk,TDFat,TDPro,TDSCCS,Fat,Protein,Lactose,Solids,SNF,Urea,FPD,SCC
50,201148310007_R01C02,990,5,4.8,3.7,8.6,4.8,3.71,4.4,13.61,8.81,15.1,576.833,4730
90,201148310004_R09C02,1446,5,6.1,3.4,7.2,6.14,3.41,4.831,15.19,9.05,18.5,593.095,1880
129,201148310015_R05C01,1425,5,4.8,3.6,9.6,4.8,3.62,4.589,13.75,8.95,12.7,587.823,13195
147,201148310021_R03C01,148,5,4.1,3.3,6.7,4.1,3.28,4.552,12.75,8.65,31.5,595.186,1320
148,201148310021_R04C01,159,5,5.1,4.1,6.6,5.07,4.1,4.774,14.8,9.73,25.1,608.84,1208
54,201148310007_R03C02,880,5,6.1,3.7,4,6.13,3.72,4.705,15.34,9.21,16.1,602.425,203
24,201148310012_R12C02,1456,6,3.7,2.8,6.4,6.17,3.25,4.555,14.71,8.54,NA,NA,3953
109,201148310008_R07C01,10981,6,3.3,2.5,4.7,3.7,2.5,4.222,11.13,7.43,30.8,580.088,198
229,201148310020_R01C01,944,7,4,3,5.3,3.96,2.98,4.71,12.53,8.57,16.2,593.121,486
210,201148310006_R03C02,4,8,2.1,2.7,2.3,2.14,2.68,4.727,10.49,8.35,36.8,576.738,63
241,201148310020_R07C01,1224,8,5.5,3.2,3.5,5.5,3.16,4.72,14.13,8.63,21.8,584.396,142
33,201148310010_R05C01,1308,9,4.2,2.7,7.4,4.17,2.68,4.298,11.85,7.69,17.7,586.056,2097
156,201148310021_R12C01,25,9,3.3,3,5,3.28,2.96,4.326,11.36,8.08,23.6,604.242,410
222,201148310006_R09C02,5,9,2.1,2.5,3.9,2.09,2.46,4.343,9.71,7.62,36.3,579.666,188
100,201148310008_R02C02,5,10,3.7,2.3,6,3.73,2.26,4.457,11.25,7.53,33.3,574.821,780
163,201148310018_R04C01,3250,10,2.5,2.6,3.1,2.55,2.6,4.323,10.21,7.66,14.9,570.399,196
52,201148310007_R02C02,5,11,3.7,2.6,4,3.67,2.6,4.63,11.77,8.1,30.5,583.644,197
79,201148310004_R04C01,10,11,4.2,2.9,3,4.23,2.93,4.67,12.69,8.45,22.8,595.867,103
248,201148310020_R10C02,120,11,3.3,2.8,3.4,3.34,2.81,4.509,11.48,8.14,23.9,576.479,130
118,201148310008_R11C02,8300,11,3.6,2.6,5,3.63,2.59,4.78,11.94,8.31,26.8,585.122,388
174,201148310018_R09C02,21,12,3.5,2.8,4.2,3.49,2.83,4.565,11.74,8.24,26.9,592.015,232
22,201148310012_R11C02,37,15,3,2.5,4.5,3.02,2.46,4.592,10.98,7.95,22.8,574.437,280
164,201148310018_R04C02,1(a),9,3.5,2.9,5,3.53,2.92,4.402,11.65,8.12,23.3,584.735,409
195,201148310019_R08C01,3(a),14,3.5,2.6,4.3,3.5,2.64,4.49,11.47,7.97,32.3,591.812,242
134,201148310015_R07C02,4(a),10,3.5,2.5,5.8,3.51,2.54,4.327,11.14,7.62,30.4,589.752,711
130,201148310015_R05C02,6(b),13,3.2,2.4,5,3.17,2.41,4.297,10.67,7.5,23.8,588.628,389
176,201148310018_R10C02,174,5,3.1,3,4.5,2.94,2.69,4.736,11.25,8.31,19.1,582.667,264
197,201148310019_R09C01,8300,11,3.6,2.6,5,3.63,2.59,4.78,11.94,8.31,26.8,585.122,388
190,201148310019_R05C02,8500,12,4.4,3.1,4.2,4.35,3.06,4.656,12.93,8.58,33.5,592.296,233
253,201148310023_R01C01,9400,10,3.3,3,5.3,3.29,2.95,4.574,11.68,8.38,31.2,599.153,504
104,201148310008_R04C02,1329,5,4.1,2.7,6.9,5.15,4.38,4.242,14.41,9.26,NA,NA,3857
186,201148310019_R03C02,31415,NA,NA,NA,NA,3.15,2.83,4.586,11.43,8.28,NA,NA,635
177,201148310018_R11C01,65,NA,NA,NA,NA,3.57,3.53,4.756,12.73,9.16,24.3,580.269,178
194,201148310019_R07C02,75,NA,NA,NA,NA,3.15,2.98,4.681,11.69,8.54,22.6,576.12,122
201,201148310019_R11C01,70,NA,NA,NA,NA,3,2.64,4.518,11.01,8.01,20.3,581.85,157
218,201148310006_R07C02,1440,2,8.1,4,4.6,8.14,4.03,4.801,17.7,9.56,13.8,597.2,296
106,201148310008_R05C02,148,3,3.9,3.6,8.1,3.9,3.62,4.591,12.91,9.01,26.7,597.986,3376
108,201148310008_R06C02,1258,3,6.9,5.8,9.6,6.9,5.82,3.874,16.96,10.06,7.9,629.81,28663
225,201148310006_R11C01,1450,3,8,3,6.2,8.03,3,4.657,16.46,8.42,27.7,584.158,929
84,201148310004_R06C02,18,4,3.7,2.7,3.4,3.73,2.69,4.587,11.86,8.13,26,583.396,132
151,201148310021_R07C01,166,4,5.2,3.7,5,5.15,3.66,4.554,14.17,9.02,27.5,601.466,389
205,201148310006_R01C01,23,4,3.3,2.3,3.9,3.25,2.29,4.433,10.8,7.55,24.7,587.446,181
226,201148310006_R11C02,1461,4,7.2,3.9,5.7,7.21,3.93,4.826,16.74,9.53,24.8,597.862,636
228,201148310006_R12C02,1462,4,7,4,7.1,6.99,4.03,4.788,16.56,9.57,19.2,589.386,1658
236,201148310020_R04C02,142,4,4.3,3.1,6.9,4.34,3.09,4.552,12.81,8.46,23.7,597.17,1501
206,201148310006_R01C02,1438,4,6.1,3.2,7.5,6.1,3.24,4.66,14.76,8.66,17.4,581.775,2268
207,201148310006_R02C01,172,4,3.9,3.2,2.5,5,4.18,5.057,15.16,10.16,16.4,602.951,1173
10,201148310012_R05C02,1012,5,5.8,3,9.6,5.78,2.97,3.845,13.07,7.29,25.9,576.776,23235
152,201148310021_R08C01,168,5,4.5,3.6,5.4,4.46,3.6,4.446,13.28,8.83,28.2,603.647,541
211,201148310006_R04C01,1449,5,6.5,4,6.7,6.49,4.03,4.766,16.01,9.52,19.5,590.901,1259
214,201148310006_R05C02,1453,5,6.5,3.1,7.3,6.51,3.11,4.879,15.31,8.8,22.5,578.148,1952
250,201148310020_R11C02,148,5,4.1,3.3,6.7,4.1,3.28,4.552,12.75,8.65,31.5,595.186,1320
32,201148310010_R04C02,14,5,3.8,2.4,7.6,3.75,2.43,3.979,10.88,7.13,21.3,586.315,2433
71,201148310007_R12C01,888,5,5.1,2.7,7.6,6.73,4.56,3.634,15.26,8.52,NA,NA,7325
77,201148310004_R03C01,1460,5,6.8,4.4,4,6.82,4.35,4.799,16.72,9.9,15.1,599.635,195
80,201148310004_R04C02,1306,5,4.4,3.2,4.3,4.39,3.24,4.536,12.91,8.52,14.2,575.682,247
183,201148310019_R02C01,12,5,2.9,2.7,6.9,2.93,2.67,4.671,11.16,8.23,24.9,579.452,1537
230,201148310020_R01C02,1458,5,4.1,3.2,5.1,4.05,3.23,4.612,12.72,8.67,14,577.406,431
110,201148310008_R07C02,1429,6,5.7,3.2,5.9,5.72,3.2,4.809,14.57,8.85,17.3,583.137,764
94,201148310004_R11C02,1344,6,6.9,4,6.4,6.93,3.96,4.7,16.33,9.39,18.3,601.03,1032
168,201148310018_R06C02,167,6,4.3,2.9,7.7,4.31,2.93,4.744,12.87,8.56,16.1,584.272,2632
87,201148310004_R08C01,16,7,4.3,3.4,6.4,4.26,3.37,4.987,13.53,9.28,21.8,588.847,1070
150,201148310021_R06C01,162,7,4.9,3.5,5.4,4.87,3.47,4.475,13.54,8.66,25.8,584.125,518
8,201148310012_R04C02,1439,7,5.3,2.8,6.9,6.84,4.36,4.697,16.61,9.77,NA,NA,13272
11,201148310012_R06C01,20,7,3.5,2.9,5.8,3.45,2.92,4.607,11.81,8.35,27.2,581.316,703
89,201148310004_R09C01,1223,7,4.7,3.1,5.3,4.71,3.12,4.53,13.12,8.41,15.5,590.063,499
124,201148310015_R02C02,160,7,3.3,2.6,5.3,3.66,2.87,4.713,12.12,8.45,23.9,582.583,94
179,201148310018_R12C01,20510,7,3,2.5,6.7,3.32,2.54,4.553,11.27,7.95,19.1,582.227,2221
75,201148310004_R02C01,1,8,3.4,2.9,9.6,3.39,2.94,4.464,11.64,8.25,22.5,580.068,11738
78,201148310004_R03C02,2,8,2.9,3,6.2,2.93,3.01,4.518,11.27,8.34,29.6,595.607,924
172,201148310018_R08C02,143,8,2.5,2.7,5.6,2.54,2.67,4.347,10.3,7.76,19.7,573.151,593
269,201148310023_R09C01,16,8,3.8,2.2,3.8,3.79,2.22,4.503,11.35,7.57,25.5,579.376,176
92,201148310004_R10C02,138,9,3.9,2.7,6,3.94,2.67,4.791,12.35,8.41,25.4,595.037,827
28,201148310010_R02C02,16,9,3.1,2.6,6.1,3.11,2.56,4.441,10.93,7.81,30.5,584.394,842
196,201148310019_R08C02,4,9,3.1,2.4,3.5,3.14,2.44,4.294,10.64,7.51,22.9,582.552,141
262,201148310023_R05C02,45,9,5.2,2.8,3.6,5.17,2.75,4.683,13.47,8.3,31.9,601.058,154
95,201148310004_R12C01,155,10,3.4,2.9,4.1,3.46,2.87,4.726,11.98,8.53,30,583.805,197
99,201148310008_R02C01,1229,10,4.4,2.7,8.6,4.4,2.66,4.069,11.75,7.35,17.8,589.942,4890
213,201148310006_R05C01,143,10,2.7,2.8,5.8,2.74,2.77,4.641,11.03,8.29,18.4,582.87,674
246,201148310020_R09C02,5,10,3.5,2.8,4,3.53,2.84,4.696,11.95,8.42,28.2,590.069,197
35,201148310010_R06C01,13,10,4.3,3.3,3.7,4.3,3.29,4.765,13.21,8.91,33.9,584.315,164
140,201148310015_R10C02,1,10,2.6,2.8,6.3,2.35,2.85,4.391,10.43,8.08,25.3,594.085,526
159,201148310018_R02C01,67,10,4.9,2.9,5.9,4.88,2.86,4.609,13.18,8.3,22.5,595.596,724
220,201148310006_R08C02,9000,10,3.5,3.1,3.8,3.54,3.09,4.636,12.15,8.61,33.7,604.144,172
231,201148310020_R02C01,946,10,4.9,2.7,5.9,4.87,2.65,4.646,13.01,8.14,20.1,578.58,733
239,201148310020_R06C01,1024,10,4,2.8,6.1,5.5,3.64,4.285,14.06,8.56,NA,NA,3507
261,201148310023_R05C01,17,10,2.8,2.3,4.3,2.83,2.3,4.472,10.45,7.62,25.9,581.793,254
19,201148310012_R10C01,2,11,2.5,2.6,4.6,2.49,2.62,4.391,10.36,7.87,33.9,584.324,294
127,201148310015_R04C01,10,11,3.4,2.9,5.6,3.37,2.9,4.627,11.77,8.4,31.2,585.809,589
232,201148310020_R02C02,2,11,4.2,2.7,3.7,4.23,2.68,4.701,12.51,8.28,21.7,579.259,168
91,201148310004_R10C01,1300,11,4.6,3.1,3.3,4.6,3.14,4.794,13.42,8.83,34.7,591.063,124
208,201148310006_R02C02,8800,11,3.8,3.4,4.3,3.78,3.41,4.682,12.7,8.91,30.7,587.187,240
20,201148310012_R10C02,130,12,3.7,2.7,3.8,3.73,2.65,4.398,11.5,7.77,24.2,574.117,170
102,201148310008_R03C02,4900,12,5.2,3.1,5.5,5.23,3.05,4.712,13.86,8.63,22.1,593.512,548
107,201148310008_R06C01,3,12,3,2.4,5.1,2.98,2.41,4.336,10.53,7.55,31.6,580.432,429
158,201148310018_R01C02,20,12,2.8,2.5,3.4,2.8,2.5,4.284,10.39,7.59,25.3,591.836,129
259,201148310023_R04C01,5,13,3.3,2.6,5.7,3.26,2.58,4.556,11.25,7.99,26.6,582.05,643
6,201148310012_R03C02,36,14,3.2,2.5,5.3,3.23,2.53,4.853,11.59,8.36,21,571.331,476
72,201148310007_R12C02,3,14,3.3,2.6,3.4,3.33,2.58,4.37,11.1,7.77,27.9,594.416,131
268,201148310023_R08C02,8,15,3.6,2.6,3.1,3.62,2.59,4.469,11.51,7.89,26.4,593.473,108
275,201148310023_R12C01,6b,15,4.1,2.4,3.8,4.09,2.43,4.376,11.71,7.63,32.9,590.28,170
267,201148310023_R08C01,2(b),16,3.1,3,3,3.13,3.04,4.639,11.69,8.56,23.7,588.303,99
260,201148310023_R04C02,3(b),16,2.9,2.3,5.3,2.94,2.28,4.298,10.31,7.37,25.9,571.422,491
157,201148310018_R01C01,7(b),15,2.7,2.4,4.2,2.66,2.39,4.486,10.39,7.74,22.6,584.311,225
173,201148310018_R09C01,9(b),13,4.2,2.8,4.7,4.16,2.81,4.398,12.16,8,19.3,594.778,321
203,201148310019_R12C01,6a,16,4.8,2.6,4.4,4.75,2.63,4.573,12.78,8.04,13.3,587.622,259
251,201148310020_R12C01,10,11,3.4,2.9,5.6,5.16,3.56,4.579,14.09,8.93,15,602.854,681
